TIER,VETERAN,WINS,REQUEST_REGION,INACTIVE,HOTSTREAK,QUEUE,LOSSES,FRESHBLOOD,SUMMONERNAME,LEAGUEPOINTS
MASTER,FALSE,102,br1,FALSE,TRUE,RANKED_FLEX_SR,62,TRUE,lorhão,1
MASTER,FALSE,229,br1,FALSE,FALSE,RANKED_FLEX_SR,210,TRUE,Shy Earth,26
MASTER,FALSE,152,br1,FALSE,FALSE,RANKED_FLEX_SR,126,TRUE,DRÖGA É O CARLOS,1
MASTER,FALSE,77,br1,FALSE,FALSE,RANKED_FLEX_SR,59,TRUE,Cursola,1
MASTER,FALSE,244,br1,FALSE,FALSE,RANKED_FLEX_SR,249,TRUE,TuIIy,1
MASTER,FALSE,176,br1,FALSE,TRUE,RANKED_FLEX_SR,159,TRUE,Luígi,9
MASTER,FALSE,103,br1,FALSE,FALSE,RANKED_FLEX_SR,69,TRUE,low of solipsism,0
MASTER,FALSE,263,br1,FALSE,FALSE,RANKED_FLEX_SR,249,TRUE,Isi,0
MASTER,FALSE,133,br1,FALSE,FALSE,RANKED_FLEX_SR,99,TRUE,Ttinhas,14
MASTER,FALSE,69,br1,FALSE,FALSE,RANKED_FLEX_SR,56,FALSE,Ionely love,35
MASTER,FALSE,48,br1,FALSE,FALSE,RANKED_FLEX_SR,37,TRUE,mono maIphite,1
MASTER,FALSE,213,br1,FALSE,FALSE,RANKED_FLEX_SR,203,TRUE,maka,0
MASTER,FALSE,121,br1,FALSE,FALSE,RANKED_FLEX_SR,81,TRUE,N3R0,138
MASTER,FALSE,155,eun1,FALSE,FALSE,RANKED_SOLO_5x5,144,TRUE,TwTv Zilean1919,39
MASTER,FALSE,72,eun1,FALSE,TRUE,RANKED_SOLO_5x5,70,TRUE,rank 1 is mine1,164
MASTER,FALSE,35,eun1,FALSE,FALSE,RANKED_SOLO_5x5,24,TRUE,BYLB Eternal,160
MASTER,FALSE,267,eun1,FALSE,TRUE,RANKED_SOLO_5x5,213,TRUE,cpsn,1
MASTER,FALSE,163,eun1,FALSE,FALSE,RANKED_SOLO_5x5,144,TRUE,Jαson Bourne,0
MASTER,FALSE,275,eun1,FALSE,FALSE,RANKED_SOLO_5x5,217,TRUE,Tentαcle Smαsh,32
MASTER,FALSE,707,eun1,FALSE,TRUE,RANKED_SOLO_5x5,672,TRUE,Quarter Turn,49
MASTER,FALSE,88,eun1,FALSE,TRUE,RANKED_SOLO_5x5,69,TRUE,Slim Shadyyyy,1
MASTER,FALSE,112,eun1,FALSE,FALSE,RANKED_SOLO_5x5,118,TRUE,I hate myself,0
MASTER,FALSE,144,eun1,FALSE,TRUE,RANKED_SOLO_5x5,98,TRUE,KawaiiGuy11,1
MASTER,FALSE,207,eun1,FALSE,TRUE,RANKED_SOLO_5x5,133,TRUE,SalamaTempest,1
MASTER,FALSE,222,eun1,FALSE,FALSE,RANKED_SOLO_5x5,202,TRUE,Tilted Talon,16
MASTER,FALSE,45,eun1,FALSE,FALSE,RANKED_SOLO_5x5,41,TRUE,Summoner254,5
MASTER,FALSE,155,eun1,FALSE,FALSE,RANKED_SOLO_5x5,122,TRUE,Miloxs,0
MASTER,FALSE,200,eun1,FALSE,FALSE,RANKED_SOLO_5x5,157,TRUE,Iufa,46
MASTER,FALSE,134,eun1,FALSE,TRUE,RANKED_SOLO_5x5,124,TRUE,Jοtaro Kujo,16
MASTER,FALSE,118,eun1,FALSE,TRUE,RANKED_SOLO_5x5,105,TRUE,Jerkkua,1
MASTER,FALSE,208,eun1,FALSE,FALSE,RANKED_SOLO_5x5,181,TRUE,xDuvelox,1
MASTER,FALSE,203,eun1,FALSE,FALSE,RANKED_SOLO_5x5,178,TRUE,From1LevelToChal,16
MASTER,FALSE,203,eun1,FALSE,FALSE,RANKED_SOLO_5x5,200,TRUE,Axeon,24
